Ord_id,Order_Date,Order_Priority
Ord_2103,01-01-2009,NOT SPECIFIED
Ord_2898,01-01-2009,HIGH
Ord_350,02-01-2009,LOW
Ord_418,02-01-2009,CRITICAL
Ord_3156,02-01-2009,CRITICAL
Ord_384,03-01-2009,CRITICAL
Ord_1343,03-01-2009,HIGH
Ord_1702,03-01-2009,LOW
Ord_3073,03-01-2009,MEDIUM
Ord_3147,03-01-2009,CRITICAL
Ord_1762,04-01-2009,NOT SPECIFIED
Ord_1812,04-01-2009,MEDIUM
Ord_3046,04-01-2009,HIGH
Ord_4022,04-01-2009,CRITICAL
Ord_194,05-01-2009,NOT SPECIFIED
Ord_3551,05-01-2009,CRITICAL
Ord_4028,05-01-2009,CRITICAL
Ord_4419,05-01-2009,LOW
Ord_5261,05-01-2009,MEDIUM
Ord_928,06-01-2009,HIGH
Ord_1015,06-01-2009,CRITICAL
Ord_2759,06-01-2009,HIGH
Ord_2983,06-01-2009,MEDIUM
Ord_3395,06-01-2009,CRITICAL
Ord_4116,06-01-2009,NOT SPECIFIED
Ord_5260,06-01-2009,NOT SPECIFIED
Ord_423,07-01-2009,LOW
Ord_3184,07-01-2009,HIGH
Ord_3604,07-01-2009,NOT SPECIFIED
Ord_3768,07-01-2009,CRITICAL
Ord_5368,07-01-2009,LOW
Ord_5485,07-01-2009,LOW
Ord_746,08-01-2009,NOT SPECIFIED
Ord_4459,08-01-2009,CRITICAL
Ord_5039,08-01-2009,LOW
Ord_169,09-01-2009,CRITICAL
Ord_2053,09-01-2009,CRITICAL
Ord_2239,09-01-2009,NOT SPECIFIED
Ord_3135,09-01-2009,HIGH
Ord_3496,09-01-2009,HIGH
Ord_4204,09-01-2009,NOT SPECIFIED
Ord_307,10-01-2009,CRITICAL
Ord_2222,10-01-2009,LOW
Ord_2230,10-01-2009,HIGH
Ord_3286,10-01-2009,NOT SPECIFIED
Ord_3777,10-01-2009,MEDIUM
Ord_3416,11-01-2009,NOT SPECIFIED
Ord_1338,12-01-2009,LOW
Ord_2921,12-01-2009,NOT SPECIFIED
Ord_3486,12-01-2009,NOT SPECIFIED
Ord_4652,12-01-2009,MEDIUM
Ord_900,01-02-2009,CRITICAL
Ord_4646,01-02-2009,LOW
Ord_4701,01-02-2009,CRITICAL
Ord_369,02-02-2009,NOT SPECIFIED
Ord_2649,02-02-2009,CRITICAL
Ord_2739,02-02-2009,NOT SPECIFIED
Ord_3009,02-02-2009,HIGH
Ord_4992,02-02-2009,LOW
Ord_246,03-02-2009,MEDIUM
Ord_2805,03-02-2009,NOT SPECIFIED
Ord_3446,03-02-2009,HIGH
Ord_4155,03-02-2009,NOT SPECIFIED
Ord_1642,04-02-2009,CRITICAL
Ord_1771,04-02-2009,MEDIUM
Ord_2590,04-02-2009,HIGH
Ord_3858,04-02-2009,MEDIUM
Ord_2738,05-02-2009,NOT SPECIFIED
Ord_4670,05-02-2009,MEDIUM
Ord_4830,05-02-2009,HIGH
Ord_1854,06-02-2009,CRITICAL
Ord_1866,06-02-2009,NOT SPECIFIED
Ord_2070,06-02-2009,MEDIUM
Ord_184,07-02-2009,HIGH
Ord_1120,07-02-2009,CRITICAL
Ord_2364,07-02-2009,MEDIUM
Ord_3450,07-02-2009,MEDIUM
Ord_3825,07-02-2009,CRITICAL
Ord_5494,07-02-2009,MEDIUM
Ord_144,08-02-2009,NOT SPECIFIED
Ord_313,08-02-2009,MEDIUM
Ord_315,08-02-2009,CRITICAL
Ord_1755,08-02-2009,CRITICAL
Ord_4716,08-02-2009,NOT SPECIFIED
Ord_2789,09-02-2009,NOT SPECIFIED
Ord_2957,09-02-2009,CRITICAL
Ord_383,10-02-2009,NOT SPECIFIED
Ord_667,10-02-2009,CRITICAL
Ord_4470,10-02-2009,NOT SPECIFIED
Ord_1342,11-02-2009,LOW
Ord_1414,11-02-2009,LOW
Ord_2303,11-02-2009,CRITICAL
Ord_3068,11-02-2009,LOW
Ord_4682,11-02-2009,NOT SPECIFIED
Ord_342,12-02-2009,HIGH
Ord_1773,12-02-2009,LOW
Ord_2471,12-02-2009,MEDIUM
Ord_3616,12-02-2009,NOT SPECIFIED
Ord_3962,12-02-2009,LOW
Ord_1167,01-03-2009,CRITICAL
Ord_3097,01-03-2009,HIGH
Ord_3707,01-03-2009,LOW
Ord_5151,01-03-2009,HIGH
Ord_5267,01-03-2009,HIGH
Ord_5271,01-03-2009,NOT SPECIFIED
Ord_4881,02-03-2009,NOT SPECIFIED
Ord_81,03-03-2009,LOW
Ord_2512,04-03-2009,HIGH
Ord_2737,05-03-2009,LOW
Ord_4070,05-03-2009,MEDIUM
Ord_5088,05-03-2009,NOT SPECIFIED
Ord_1332,06-03-2009,MEDIUM
Ord_3242,06-03-2009,LOW
Ord_3807,06-03-2009,NOT SPECIFIED
Ord_4402,06-03-2009,HIGH
Ord_4435,06-03-2009,NOT SPECIFIED
Ord_4730,06-03-2009,LOW
Ord_5322,06-03-2009,LOW
Ord_393,07-03-2009,LOW
Ord_844,07-03-2009,HIGH
Ord_947,07-03-2009,HIGH
Ord_1075,07-03-2009,HIGH
Ord_2503,07-03-2009,LOW
Ord_3413,07-03-2009,HIGH
Ord_3600,08-03-2009,LOW
Ord_3694,08-03-2009,MEDIUM
Ord_5081,09-03-2009,NOT SPECIFIED
Ord_462,11-03-2009,NOT SPECIFIED
